line_id,direction,time_period_id,station_id,total_ons
blue,0,time_period_01,place-aport,24671
blue,0,time_period_01,place-aqucl,321
blue,0,time_period_01,place-bmmnl,17937
blue,0,time_period_01,place-bomnl,0
blue,0,time_period_01,place-gover,8
blue,0,time_period_01,place-mvbcl,38544
blue,0,time_period_01,place-orhte,23284
blue,0,time_period_01,place-rbmnl,18921
blue,0,time_period_01,place-sdmnl,1578
blue,0,time_period_01,place-state,220
blue,0,time_period_01,place-wimnl,10790
blue,0,time_period_01,place-wondl,28742
blue,0,time_period_02,place-aport,42976
blue,0,time_period_02,place-aqucl,1297
blue,0,time_period_02,place-bmmnl,30553
blue,0,time_period_02,place-bomnl,0
blue,0,time_period_02,place-gover,37
blue,0,time_period_02,place-mvbcl,81438
blue,0,time_period_02,place-orhte,37523
blue,0,time_period_02,place-rbmnl,28265
blue,0,time_period_02,place-sdmnl,4531
blue,0,time_period_02,place-state,483
blue,0,time_period_02,place-wimnl,19373
blue,0,time_period_02,place-wondl,65393
blue,0,time_period_03,place-aport,110241
blue,0,time_period_03,place-aqucl,6181
blue,0,time_period_03,place-bmmnl,90806
blue,0,time_period_03,place-bomnl,0
blue,0,time_period_03,place-gover,144
blue,0,time_period_03,place-mvbcl,239147
blue,0,time_period_03,place-orhte,110837
blue,0,time_period_03,place-rbmnl,69149
blue,0,time_period_03,place-sdmnl,15114
blue,0,time_period_03,place-state,1614
blue,0,time_period_03,place-wimnl,46719
blue,0,time_period_03,place-wondl,233063
blue,0,time_period_04,place-aport,113660
blue,0,time_period_04,place-aqucl,14096
blue,0,time_period_04,place-bmmnl,55352
blue,0,time_period_04,place-bomnl,0
blue,0,time_period_04,place-gover,345
blue,0,time_period_04,place-mvbcl,189320
blue,0,time_period_04,place-orhte,73674
blue,0,time_period_04,place-rbmnl,62431
blue,0,time_period_04,place-sdmnl,9494
blue,0,time_period_04,place-state,4286
blue,0,time_period_04,place-wimnl,33851
blue,0,time_period_04,place-wondl,121823
blue,0,time_period_05,place-aport,82284
blue,0,time_period_05,place-aqucl,19909
blue,0,time_period_05,place-bmmnl,29239
blue,0,time_period_05,place-bomnl,0
blue,0,time_period_05,place-gover,298
blue,0,time_period_05,place-mvbcl,111056
blue,0,time_period_05,place-orhte,37192
blue,0,time_period_05,place-rbmnl,36408
blue,0,time_period_05,place-sdmnl,5002
blue,0,time_period_05,place-state,4516
blue,0,time_period_05,place-wimnl,22986
blue,0,time_period_05,place-wondl,49182
blue,0,time_period_06,place-aport,68093
blue,0,time_period_06,place-aqucl,29958
blue,0,time_period_06,place-bmmnl,20536
blue,0,time_period_06,place-bomnl,0
blue,0,time_period_06,place-gover,350
blue,0,time_period_06,place-mvbcl,94665
blue,0,time_period_06,place-orhte,32137
blue,0,time_period_06,place-rbmnl,27789
blue,0,time_period_06,place-sdmnl,4588
blue,0,time_period_06,place-state,8479
blue,0,time_period_06,place-wimnl,22650
blue,0,time_period_06,place-wondl,39459
blue,0,time_period_07,place-aport,44374
blue,0,time_period_07,place-aqucl,12136
blue,0,time_period_07,place-bmmnl,9505
blue,0,time_period_07,place-bomnl,0
blue,0,time_period_07,place-gover,179
blue,0,time_period_07,place-mvbcl,42648
blue,0,time_period_07,place-orhte,14014
blue,0,time_period_07,place-rbmnl,11137
blue,0,time_period_07,place-sdmnl,1858
blue,0,time_period_07,place-state,3432
blue,0,time_period_07,place-wimnl,8251
blue,0,time_period_07,place-wondl,23938
blue,0,time_period_08,place-aport,21030
blue,0,time_period_08,place-aqucl,4375
blue,0,time_period_08,place-bmmnl,3293
blue,0,time_period_08,place-bomnl,0
blue,0,time_period_08,place-gover,29
blue,0,time_period_08,place-mvbcl,10278
blue,0,time_period_08,place-orhte,5584
blue,0,time_period_08,place-rbmnl,3885
blue,0,time_period_08,place-sdmnl,320
blue,0,time_period_08,place-state,745
blue,0,time_period_08,place-wimnl,3863
blue,0,time_period_08,place-wondl,9082
blue,0,time_period_09,place-aport,2512
blue,0,time_period_09,place-aqucl,686
blue,0,time_period_09,place-bmmnl,254
blue,0,time_period_09,place-bomnl,0
blue,0,time_period_09,place-gover,9
blue,0,time_period_09,place-mvbcl,1360
blue,0,time_period_09,place-orhte,656
blue,0,time_period_09,place-rbmnl,497
blue,0,time_period_09,place-sdmnl,32
blue,0,time_period_09,place-state,237
blue,0,time_period_09,place-wimnl,671
blue,0,time_period_09,place-wondl,876
blue,1,time_period_01,place-aport,1215
blue,1,time_period_01,place-aqucl,736
blue,1,time_period_01,place-bmmnl,367
blue,1,time_period_01,place-bomnl,195
blue,1,time_period_01,place-gover,4983
blue,1,time_period_01,place-mvbcl,2701
blue,1,time_period_01,place-orhte,345
blue,1,time_period_01,place-rbmnl,72
blue,1,time_period_01,place-sdmnl,32
blue,1,time_period_01,place-state,8708
blue,1,time_period_01,place-wimnl,633
blue,1,time_period_01,place-wondl,0
blue,1,time_period_02,place-aport,2879
blue,1,time_period_02,place-aqucl,3097
blue,1,time_period_02,place-bmmnl,434
blue,1,time_period_02,place-bomnl,850
blue,1,time_period_02,place-gover,16398
blue,1,time_period_02,place-mvbcl,6082
blue,1,time_period_02,place-orhte,854
blue,1,time_period_02,place-rbmnl,242
blue,1,time_period_02,place-sdmnl,72
blue,1,time_period_02,place-state,30919
blue,1,time_period_02,place-wimnl,936
blue,1,time_period_02,place-wondl,0
blue,1,time_period_03,place-aport,5943
blue,1,time_period_03,place-aqucl,6418
blue,1,time_period_03,place-bmmnl,1783
blue,1,time_period_03,place-bomnl,4450
blue,1,time_period_03,place-gover,37279
blue,1,time_period_03,place-mvbcl,14181
blue,1,time_period_03,place-orhte,2612
blue,1,time_period_03,place-rbmnl,724
blue,1,time_period_03,place-sdmnl,165
blue,1,time_period_03,place-state,57670
blue,1,time_period_03,place-wimnl,1926
blue,1,time_period_03,place-wondl,0
blue,1,time_period_04,place-aport,12307
blue,1,time_period_04,place-aqucl,22948
blue,1,time_period_04,place-bmmnl,3227
blue,1,time_period_04,place-bomnl,21972
blue,1,time_period_04,place-gover,115203
blue,1,time_period_04,place-mvbcl,23233
blue,1,time_period_04,place-orhte,4694
blue,1,time_period_04,place-rbmnl,1307
blue,1,time_period_04,place-sdmnl,737
blue,1,time_period_04,place-state,148621
blue,1,time_period_04,place-wimnl,2850
blue,1,time_period_04,place-wondl,0
blue,1,time_period_05,place-aport,18092
blue,1,time_period_05,place-aqucl,54445
blue,1,time_period_05,place-bmmnl,2722
blue,1,time_period_05,place-bomnl,35496
blue,1,time_period_05,place-gover,191799
blue,1,time_period_05,place-mvbcl,26091
blue,1,time_period_05,place-orhte,4470
blue,1,time_period_05,place-rbmnl,1188
blue,1,time_period_05,place-sdmnl,833
blue,1,time_period_05,place-state,235362
blue,1,time_period_05,place-wimnl,4251
blue,1,time_period_05,place-wondl,0
blue,1,time_period_06,place-aport,17420
blue,1,time_period_06,place-aqucl,114850
blue,1,time_period_06,place-bmmnl,2287
blue,1,time_period_06,place-bomnl,74788
blue,1,time_period_06,place-gover,319292
blue,1,time_period_06,place-mvbcl,29881
blue,1,time_period_06,place-orhte,5335
blue,1,time_period_06,place-rbmnl,1204
blue,1,time_period_06,place-sdmnl,1028
blue,1,time_period_06,place-state,405163
blue,1,time_period_06,place-wimnl,4940
blue,1,time_period_06,place-wondl,0
blue,1,time_period_07,place-aport,25165
blue,1,time_period_07,place-aqucl,65584
blue,1,time_period_07,place-bmmnl,2048
blue,1,time_period_07,place-bomnl,24632
blue,1,time_period_07,place-gover,230197
blue,1,time_period_07,place-mvbcl,22465
blue,1,time_period_07,place-orhte,3913
blue,1,time_period_07,place-rbmnl,625
blue,1,time_period_07,place-sdmnl,424
blue,1,time_period_07,place-state,212073
blue,1,time_period_07,place-wimnl,2505
blue,1,time_period_07,place-wondl,0
blue,1,time_period_08,place-aport,13270
